City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,13.34,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
1,Hermanus,ZA,15.53,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Carnarvon,AU,20.04,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
4,Isangel,VU,26.48,overcast clouds,-19.55,169.2667,Tanna Lodge
5,Rikitea,PF,25.74,clear sky,-23.1203,-134.9692,People ThankYou
7,Paka,MY,25.96,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
9,Mattru,SL,26.28,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
11,Port Blair,IN,27.59,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Dubrovnik,HR,12.8,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
18,Tautira,PF,27.26,light rain,-17.7333,-149.15,Pension Oaoa
20,Cayenne,GF,29.02,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
21,Hilo,US,25.16,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Bilma,NE,29.65,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
27,Portland,US,14.23,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
28,Hambantota,LK,26.57,broken clouds,6.1241,81.1185,Bungalow 63
33,Mantua,IT,13.53,overcast clouds,45.1667,10.7833,Hotel la Favorita
34,Oistins,BB,28.05,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
35,Vaini,TO,25.09,scattered clouds,-21.2,-175.2,Keleti Beach Resort
37,Cockburn Town,TC,26.98,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
38,Faanui,PF,27.47,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Chase,CA,12.82,few clouds,50.8165,-119.6857,Chase Country Inn Motel
40,Xinyang,CN,12.64,overcast clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
41,Manggar,ID,26.88,broken clouds,-2.8833,108.2667,Guest Hotel
44,Menongue,AO,17.44,few clouds,-14.6585,17.691,Ritz Lauca
45,Ponta Do Sol,PT,21.74,overcast clouds,32.6667,-17.1,Hotel do Campo
46,Ushuaia,AR,10.81,broken clouds,-54.8,-68.3,Albatross Hotel
48,Gladstone,AU,16.96,clear sky,-23.85,151.25,Highpoint International Hotel
51,Itoman,JP,19.01,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
52,Buala,SB,26.76,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
53,Esperance,AU,10.91,broken clouds,-33.8667,121.9,Hospitality Esperance
54,Busselton,AU,13.08,broken clouds,-33.65,115.3333,Observatory Guest House
58,Bathsheba,BB,28.34,broken clouds,13.2167,-59.5167,Atlantis Hotel
59,Muros,ES,14.35,clear sky,42.7762,-9.0603,Apartment Av. Castelao
60,Lorengau,PG,27.44,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Kieta,PG,25.9,light rain,-6.2167,155.6333,Uruna Bay Retreat
67,Harper,LR,25.33,overcast clouds,4.375,-7.7169,Screensaver
68,Alofi,NU,24.94,broken clouds,-19.0595,-169.9187,Taloa Heights
71,Georgetown,MY,27.96,few clouds,5.4112,100.3354,Cititel Penang
72,Lons-Le-Saunier,FR,11.62,clear sky,46.75,5.75,"Gîte ""La cabane du berger"""
73,Fortuna,US,14.4,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
74,Meridian,US,12.31,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
76,Cape Town,ZA,17.17,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
78,Bangangte,CM,18.07,light rain,5.1409,10.5198,Hôtel Cristal Foua Ndigong
80,Lebu,CL,14.56,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
81,Palauig,PH,26.36,clear sky,15.435,119.9045,Alperi Botique Resort
82,Jalu,LY,20.04,overcast clouds,29.0331,21.5482,صاحبة الفخامة
83,Flinders,AU,16.88,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
84,Itarema,BR,27.22,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
85,Port Alfred,ZA,18.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
86,Butaritari,KI,27.41,few clouds,3.0707,172.7902,Isles Sunset Lodge
87,Puerto Ayora,EC,25.98,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Muisne,EC,26.04,broken clouds,0.6,-80.0333,Quinta Samay
89,New Norfolk,AU,13.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
91,Asfi,MA,19.57,overcast clouds,32.2994,-9.2372,Hôtel Abda
92,Calvinia,ZA,17.58,clear sky,-31.4707,19.776,Die Lemoenhuis
94,Selestat,FR,13.08,clear sky,48.2598,7.4565,Logis Hôtel Au Parc des Cigognes
95,Laguna,US,21.54,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
98,Nchelenge,ZM,21.16,light rain,-9.3451,28.734,KD Travellers Home
99,Zhicheng,CN,11.91,overcast clouds,30.2956,111.5047,Wangjiang Building
100,Ambilobe,MG,23.09,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
101,Mar Del Plata,AR,20.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
103,Sao Filipe,CV,21.95,clear sky,14.8961,-24.4956,Hotel Xaguate
104,Inverness,GB,14.95,clear sky,57.4791,-4.224,Glen Mhor Hotel & Apartments
105,Dingle,PH,24.27,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
106,Amambai,BR,22.82,scattered clouds,-23.1042,-55.2258,Keren Hotel
108,Cidreira,BR,20.61,overcast clouds,-30.1811,-50.2056,Hotel Castelo
109,Tagusao,PH,25.85,broken clouds,9.1924,117.8141,Green Villa beach resort
110,Waddan,LY,19.45,clear sky,29.1614,16.139,محل الشريف محمد العايب
111,Cap Malheureux,MU,25.26,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
113,Hithadhoo,MV,28.11,scattered clouds,-0.6,73.0833,Scoop Guest House
114,Necochea,AR,19.36,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
116,Atuona,PF,26.52,few clouds,-9.8,-139.0333,Villa Enata
117,Raichur,IN,29.07,overcast clouds,16.2,77.3667,Hotel CM Residency
118,Burlington,US,11.94,few clouds,39.8835,-74.6413,Delanco Camp
119,Vila,PT,12.49,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
120,East London,ZA,18.73,overcast clouds,-33.0153,27.9116,Tu Casa
124,Lagoa,PT,14.03,scattered clouds,39.05,-27.9833,Casa Das Faias
130,Saint-Junien,FR,16.32,overcast clouds,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien"
131,Nishihara,JP,18.6,clear sky,26.1842,127.7558,Minshuku Agaihama
132,Gotsu,JP,11.11,overcast clouds,35.0,132.2167,Yurusato
133,Toamasina,MG,23.0,broken clouds,-18.1667,49.3833,Hotel H1
134,Kapaa,US,24.15,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
135,Tiarei,PF,28.89,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
136,Caravelas,BR,24.91,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
138,Bredasdorp,ZA,15.43,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
139,Salalah,OM,28.05,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
140,Kavieng,PG,28.32,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
141,Batticaloa,LK,26.41,broken clouds,7.7102,81.6924,Grand Star Guest House
147,Namibe,AO,24.25,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
151,Meulaboh,ID,25.63,overcast clouds,4.1363,96.1285,Kost Pria
152,Shimoda,JP,12.84,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
153,Huancavelica,PE,11.02,few clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
154,Marawi,PH,20.27,broken clouds,7.9986,124.2928,Derogongan Residence
155,Kirakira,SB,26.69,overcast clouds,-10.4544,161.9205,SanBiz Lodge
156,Saint-Philippe,RE,24.77,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
157,Kruisfontein,ZA,16.05,clear sky,-34.0033,24.7314,Oyster Bay House Rental
159,Mayumba,GA,25.81,overcast clouds,-3.432,10.6554,LIKWALE LODGE
161,Aleksandrov Gay,RU,12.05,overcast clouds,50.147,48.5704,Gostinitsa
164,Salinas,US,19.45,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
165,Chuy,UY,19.73,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
167,Cabedelo,BR,29.37,broken clouds,-6.9811,-34.8339,Hotel Pigalle
168,Halifax,CA,10.0,broken clouds,44.6453,-63.5724,Hotel Halifax
169,Mocuba,MZ,21.48,clear sky,-16.8392,36.9856,Phama Lodge
172,Mayo,US,14.59,clear sky,38.8876,-76.5119,Resorts Resource Group International
