City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,13.34,87,100,5.66,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,15.53,86,7,4.19,clear sky
2,Carnarvon,AU,-24.8667,113.6333,20.04,88,40,3.09,scattered clouds
3,Qaanaaq,GL,77.484,-69.3632,-24.47,77,3,0.51,clear sky
4,Isangel,VU,-19.55,169.2667,26.48,81,100,1.12,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,25.74,70,1,5.76,clear sky
6,Bluff,NZ,-46.6,168.3333,8.03,86,6,3.1,clear sky
7,Paka,MY,4.6374,103.4368,25.96,94,94,0.0,overcast clouds
8,Hofn,IS,64.2539,-15.2082,7.6,85,12,2.83,few clouds
9,Mattru,SL,7.6244,-11.8332,26.28,72,100,2.97,overcast clouds
10,Khatanga,RU,71.9667,102.5,-14.27,96,98,5.36,overcast clouds
11,Port Blair,IN,11.6667,92.75,27.59,73,58,0.76,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,8.06,93,75,3.6,broken clouds
13,Mataura,NZ,-46.1927,168.8643,4.56,93,0,1.15,clear sky
14,Bay Roberts,CA,47.5999,-53.2648,6.48,93,100,5.02,overcast clouds
15,Dubrovnik,HR,42.6481,18.0922,12.8,32,0,14.4,clear sky
16,Vardo,NO,70.3705,31.1107,1.99,93,75,4.63,light intensity drizzle
17,Stornoway,GB,58.2093,-6.3865,9.98,94,75,1.03,moderate rain
18,Tautira,PF,-17.7333,-149.15,27.26,73,18,5.96,light rain
19,Jamestown,US,42.097,-79.2353,6.14,41,100,4.12,overcast clouds
20,Cayenne,GF,4.9333,-52.3333,29.02,4,75,6.17,broken clouds
21,Hilo,US,19.7297,-155.09,25.16,90,100,4.63,moderate rain
22,Roma,US,43.2128,-75.4557,7.43,53,75,9.83,broken clouds
23,Bilma,NE,18.6853,12.9164,29.65,9,53,2.53,broken clouds
24,Okha,RU,53.5739,142.9478,-6.35,94,96,0.91,overcast clouds
25,Sitka,US,57.0531,-135.33,7.94,49,40,3.09,scattered clouds
26,Zapolyarnyy,RU,69.4154,30.8136,2.6,100,100,2.78,overcast clouds
27,Portland,US,45.5234,-122.6762,14.23,50,75,2.57,broken clouds
28,Hambantota,LK,6.1241,81.1185,26.57,84,70,4.16,broken clouds
29,Tomatlan,MX,19.9333,-105.25,31.45,45,71,5.11,broken clouds
30,Torbay,CA,47.6666,-52.7314,6.05,91,100,7.2,mist
31,Karasjok,NO,69.4719,25.5112,3.18,94,100,2.04,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,-11.0,62,75,5.14,broken clouds
33,Mantua,IT,45.1667,10.7833,13.53,52,100,0.45,overcast clouds
34,Oistins,BB,13.0667,-59.5333,28.05,65,75,8.23,broken clouds
35,Vaini,TO,-21.2,-175.2,25.09,94,40,0.0,scattered clouds
36,Barrow,US,71.2906,-156.7887,-19.99,77,0,3.09,clear sky
37,Cockburn Town,TC,21.4612,-71.1419,26.98,69,75,5.14,broken clouds
38,Faanui,PF,-16.4833,-151.75,27.47,72,18,5.33,few clouds
39,Chase,CA,50.8165,-119.6857,12.82,35,17,0.39,few clouds
40,Xinyang,CN,32.1228,114.0656,12.64,71,100,2.76,overcast clouds
41,Manggar,ID,-2.8833,108.2667,26.88,79,60,0.7,broken clouds
42,Ilulissat,GL,69.2167,-51.1,-13.6,88,35,1.92,scattered clouds
43,Aktash,RU,50.3,87.7333,-2.8,57,100,1.37,overcast clouds
44,Menongue,AO,-14.6585,17.691,17.44,95,19,1.76,few clouds
